Size,Cost
10000,0.167639s
10000,0.173866s
10000,0.167345s
10000,0.172859s
10000,0.173779s
10000,0.183074s
10000,0.176385s
10000,0.168437s
10000,0.169826s
10000,0.167718s
10000,0.170856s
10000,0.169391s
10000,0.167236s
10000,0.167542s
10000,0.166814s
10000,0.170147s
10000,0.167183s
10000,0.169942s
10000,0.169303s
10000,0.167391s
Size,Cost
20000,0.705493s
20000,0.7204s
20000,0.692135s
20000,0.695296s
20000,0.7084s
20000,0.712934s
20000,0.6889s
20000,0.711486s
20000,0.704602s
20000,0.704988s
20000,0.691496s
20000,0.695313s
20000,0.694496s
20000,0.705773s
20000,0.724737s
20000,0.682367s
20000,0.690266s
20000,0.67843s
20000,0.687538s
20000,0.674748s
Size,Cost
30000,1.53524s
30000,1.52575s
30000,1.61326s
30000,1.50596s
30000,1.51417s
30000,1.50966s
30000,1.56677s
30000,1.64548s
30000,1.61205s
30000,1.63318s
30000,1.72016s
30000,1.62396s
30000,1.62975s
30000,1.62802s
30000,1.56912s
30000,1.61236s
30000,1.56837s
30000,1.53673s
30000,1.51585s
30000,1.5598s
Size,Cost
40000,2.72953s
40000,2.73094s
40000,2.72786s
40000,2.74683s
40000,2.69171s
40000,2.87053s
40000,2.8694s
40000,2.84479s
40000,2.93339s
40000,2.86373s
40000,2.8233s
40000,2.77565s
40000,2.82582s
40000,2.8301s
40000,2.80718s
40000,2.84492s
40000,2.881s
40000,2.82392s
40000,2.87129s
40000,3.00758s
Size,Cost
50000,4.31803s
50000,4.22982s
50000,4.41855s
50000,4.31891s
50000,4.34341s
50000,4.34227s
50000,4.25574s
50000,4.52054s
50000,4.54639s
50000,4.36504s
50000,4.5704s
50000,4.54194s
50000,4.34173s
50000,4.33927s
50000,4.32158s
50000,4.30748s
50000,4.36132s
50000,4.50132s
50000,4.43589s
50000,4.40723s
Size,Cost
100,5.1e-05s
100,5.2e-05s
100,4.8e-05s
100,6.4e-05s
100,4.7e-05s
100,4.7e-05s
100,6.2e-05s
100,4.9e-05s
100,4.6e-05s
100,5.9e-05s
100,4.8e-05s
100,5.6e-05s
100,5.2e-05s
100,5.7e-05s
100,5.7e-05s
100,5e-05s
100,5.9e-05s
100,4.3e-05s
100,6.6e-05s
100,4.3e-05s
Size,Cost
1000,0.00215s
1000,0.001753s
1000,0.001782s
1000,0.001828s
1000,0.001772s
1000,0.001779s
1000,0.001814s
1000,0.00179s
1000,0.002001s
1000,0.001775s
1000,0.00195s
1000,0.00203s
1000,0.001737s
1000,0.001799s
1000,0.001745s
1000,0.001757s
1000,0.001751s
1000,0.001745s
1000,0.001815s
1000,0.00201s
Size,Cost
10000,0.176768s
10000,0.182085s
10000,0.178056s
10000,0.187743s
10000,0.168967s
10000,0.169004s
10000,0.194245s
10000,0.172475s
10000,0.173109s
10000,0.187851s
10000,0.167559s
10000,0.173992s
10000,0.16915s
10000,0.168102s
10000,0.172846s
10000,0.172531s
10000,0.172855s
10000,0.169519s
10000,0.171743s
10000,0.175725s
Size,Cost
100000,17.2151s
100000,17.2952s
100000,17.207s
100000,17.3719s
100000,17.1585s
100000,17.4021s
100000,17.4987s
100000,17.6195s
100000,17.5062s
100000,17.9675s
100000,18.139s
100000,18.0768s
100000,17.664s
100000,17.8068s
100000,17.7273s
100000,17.0799s
100000,18.2593s
100000,17.4072s
100000,17.7692s
100000,18.2038s
Size,Cost
1000000,1744.54s
1000000,1764.58s
1000000,1763.91s
1000000,1748.54s
1000000,1746.71s
1000000,1744.8s
1000000,1743.22s
1000000,1757.46s
1000000,1749.64s
1000000,1731.91s
1000000,1737.17s
1000000,1725.77s
1000000,1717.44s
1000000,1719.65s
1000000,1712.98s
1000000,1719.23s
1000000,1717.71s
1000000,1729.61s
1000000,1727.67s
1000000,1729.28s
Size,Cost
10000,0.167639s
10000,0.173866s
10000,0.167345s
10000,0.172859s
10000,0.173779s
10000,0.183074s
10000,0.176385s
10000,0.168437s
10000,0.169826s
10000,0.167718s
10000,0.170856s
10000,0.169391s
10000,0.167236s
10000,0.167542s
10000,0.166814s
10000,0.170147s
10000,0.167183s
10000,0.169942s
10000,0.169303s
10000,0.167391s
Size,Cost
20000,0.705493s
20000,0.7204s
20000,0.692135s
20000,0.695296s
20000,0.7084s
20000,0.712934s
20000,0.6889s
20000,0.711486s
20000,0.704602s
20000,0.704988s
20000,0.691496s
20000,0.695313s
20000,0.694496s
20000,0.705773s
20000,0.724737s
20000,0.682367s
20000,0.690266s
20000,0.67843s
20000,0.687538s
20000,0.674748s
Size,Cost
30000,1.53524s
30000,1.52575s
30000,1.61326s
30000,1.50596s
30000,1.51417s
30000,1.50966s
30000,1.56677s
30000,1.64548s
30000,1.61205s
30000,1.63318s
30000,1.72016s
30000,1.62396s
30000,1.62975s
30000,1.62802s
30000,1.56912s
30000,1.61236s
30000,1.56837s
30000,1.53673s
30000,1.51585s
30000,1.5598s
Size,Cost
40000,2.72953s
40000,2.73094s
40000,2.72786s
40000,2.74683s
40000,2.69171s
40000,2.87053s
40000,2.8694s
40000,2.84479s
40000,2.93339s
40000,2.86373s
40000,2.8233s
40000,2.77565s
40000,2.82582s
40000,2.8301s
40000,2.80718s
40000,2.84492s
40000,2.881s
40000,2.82392s
40000,2.87129s
40000,3.00758s
Size,Cost
50000,4.31803s
50000,4.22982s
50000,4.41855s
50000,4.31891s
50000,4.34341s
50000,4.34227s
50000,4.25574s
50000,4.52054s
50000,4.54639s
50000,4.36504s
50000,4.5704s
50000,4.54194s
50000,4.34173s
50000,4.33927s
50000,4.32158s
50000,4.30748s
50000,4.36132s
50000,4.50132s
50000,4.43589s
50000,4.40723s
Size,Cost
100,5.1e-05s
100,5.2e-05s
100,4.8e-05s
100,6.4e-05s
100,4.7e-05s
100,4.7e-05s
100,6.2e-05s
100,4.9e-05s
100,4.6e-05s
100,5.9e-05s
100,4.8e-05s
100,5.6e-05s
100,5.2e-05s
100,5.7e-05s
100,5.7e-05s
100,5e-05s
100,5.9e-05s
100,4.3e-05s
100,6.6e-05s
100,4.3e-05s
Size,Cost
1000,0.00215s
1000,0.001753s
1000,0.001782s
1000,0.001828s
1000,0.001772s
1000,0.001779s
1000,0.001814s
1000,0.00179s
1000,0.002001s
1000,0.001775s
1000,0.00195s
1000,0.00203s
1000,0.001737s
1000,0.001799s
1000,0.001745s
1000,0.001757s
1000,0.001751s
1000,0.001745s
1000,0.001815s
